char,char,int,double,char,int,int,int,int,int,char,int,float,char,int,char,char,int,char
모델명,제조사,가격,화면크기(inch),운영체제,용량(GB),렘(GB),전면카메라(만 화소),후면카메라(만 화소),무게(g),크기(mm),베터리용량(mAh),속도(Ghz),화면해상도,출시년도,색상,링크,카운트,링크2
Samsung Galaxy S10+(512GB),Samsung,1310000,6.44,안드로이드 9.0,512,8,1800,4000,175,74.1*157.6*7.8,4100,6.99,3040*1440,2019,프리즘 블랙  프리즘 화이트  프리즘 그린  프리즘 블루  플라밍고 핑크  세라믹 블랙  세라믹 화이트,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S10%2B,0,https://www.youtube.com/embed/Nz0i_QM0Bs8
Samsung Galaxy S10+(128GB),Samsung,1130000,6.44,안드로이드 9.0,128,8,1800,4000,175,74.1*157.6*7.8,4100,6.99,3040*1440,2019,프리즘 블랙  프리즘 화이트  프리즘 그린  프리즘 블루  플라밍고 핑크  세라믹 블랙  세라믹 화이트,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S10%2B,0,https://www.youtube.com/embed/Nz0i_QM0Bs8
Samsung Galaxy S10(512GB),Samsung,1300000,6.1,안드로이드 9.0,512,8,1000,4000,157,70.4*149.9*7.8,3400,6.99,3040*1440,2019,프리즘 블랙  프리즘 화이트  프리즘 그린  프리즘 블루  플라밍고 핑크,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S10,0,https://www.youtube.com/embed/Nz0i_QM0Bs8
Samsung Galaxy S10(128GB),Samsung,1030000,6.1,안드로이드 9.0,128,8,1000,4000,157,70.4*149.9*7.8,3400,6.99,3040*1440,2019,프리즘 블랙  프리즘 화이트  프리즘 그린  프리즘 블루  플라밍고 핑크,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S10,0,https://www.youtube.com/embed/Nz0i_QM0Bs8
Samsung Galaxy S10e(128GB),Samsung,870000,5.8,안드로이드 9.0,128,6,1000,2800,150,69.9*142.2*7.9,3100,6.99,2280*1080,2019,프리즘 블랙  프리즘 화이트  프리즘 그린  프리즘 블루  카나리아 옐로우  플라밍고 핑크,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S10e,0,https://www.youtube.com/embed/Nz0i_QM0Bs8
Samsung Galaxy S9+(256GB),Samsung,1070000,6.2,안드로이드 9.0,256,6,800,2400,189,738.*158.1*8.5,3500,4.4,2960*1440,2018,미드나잇 블랙  티타늄 그레이  코랄 블루  라일락 퍼플  버건디 레드  선라이즈 골드  아이스 블루,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S9%2B,0,https://www.youtube.com/embed/spTm4Tp7qKQ
Samsung Galaxy S9+(64GB),Samsung,940000,6.2,안드로이드 9.0,64,6,800,2400,189,738.*158.1*8.5,3500,4.4,2960*1440,2018,미드나잇 블랙  티타늄 그레이  코랄 블루  라일락 퍼플  버건디 레드  선라이즈 골드  아이스 블루,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S9%2B,0,https://www.youtube.com/embed/spTm4Tp7qKQ
Samsung Galaxy S9(64GB),Samsung,760000,5.8,안드로이드 9.0,64,4,800,1200,163,68.7*147.7*8.5,3000,4.4,2960*1440,2018,미드나잇 블랙  티타늄 그레이  코랄 블루  라일락 퍼플  버건디 레드  선라이즈 골드  아이스 블루,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S9,0,https://www.youtube.com/embed/spTm4Tp7qKQ
Samsung Galaxy S8+(128GB),Samsung,1030000,6.2,안드로이드 9.0,128,6,800,1200,173,73.4*159.5*8.1,3500,4,2960*1440,2017,미드나잇 블랙  오키드 그레이  아크틱 실버  코랄 블루  메이플 골드  로즈 핑크,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S8%2B,0,https://www.youtube.com/embed/8jyShLwQNvQ
Samsung Galaxy S8+(64GB),Samsung,950000,6.2,안드로이드 9.0,64,4,800,1200,173,73.4*159.5*8.1,3500,4,2960*1440,2017,미드나잇 블랙  오키드 그레이  아크틱 실버  코랄 블루  메이플 골드  로즈 핑크,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S8%2B,0,https://www.youtube.com/embed/8jyShLwQNvQ
Samsung Galaxy S8(64GB),Samsung,620000,5.8,안드로이드 9.0,64,4,800,1200,155,68.1*148.9*8.0,3000,4,2960*1440,2017,미드나잇 블랙  오키드 그레이  아크틱 실버  코랄 블루  메이플 골드  버건디 레드,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S8,0,https://www.youtube.com/embed/8jyShLwQNvQ
Samsung Note 9(512GB),Samsung,1070000,6.38,안드로이드 9.0,512,8,800,2400,201,76.4*161.9*8.8,4000,4.4,2960*1440,2018,미드나잇 블랙  오션 블루  라벤더 퍼플  메탈릭 코퍼,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B89,0,https://www.youtube.com/embed/GEwcBnSBM7s
Samsung Note 9(128GB),Samsung,910000,6.38,안드로이드 9.0,128,6,800,2400,201,76.4*161.9*8.8,4000,4.4,2960*1440,2018,미드나잇 블랙  오션 블루  라벤더 퍼플  메탈릭 코퍼,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B89,0,https://www.youtube.com/embed/GEwcBnSBM7s
Samsung Note 8(256GB),Samsung,1000000,6.32,안드로이드 9.0,256,6,800,2400,195,74.8*162.5*8.6,3300,4,2960*1440,2017,미드나잇 블랙  오키드 그레이  딥씨 블루  메이플 골드,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B88,0,https://www.youtube.com/embed/FsOeTFpYCjk
Samsung Note 8(64GB),Samsung,490000,6.32,안드로이드 9.0,64,6,800,2400,195,74.8*162.5*8.6,3300,4,2960*1440,2017,미드나잇 블랙  오키드 그레이  딥씨 블루  메이플 골드,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B88,0,https://www.youtube.com/embed/FsOeTFpYCjk
Samsung Note FE,Samsung,260000,5.7,안드로이드 9.0,64,4,500,1200,167,73.9*153.5*7.9,3200,3.9,2560*1440,2017,블랙 오닉스  실버 티타늄  블루 코랄  골드 플래티넘,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B8%20FE,0,https://www.youtube.com/embed/HAooBGHOnak
Samsung Galaxy A30,Samsung,330000,6.4,안드로이드 9.0,32,3,1600,2000,165,74.7*158.5*7.7,4000,3.4,2340*1080,2019,블랙  화이트  블루,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A30,0,https://www.youtube.com/embed/lZ5n0v6_TpI
Samsung Galaxy wide 4,Samsung,300000,6.4,안드로이드 9.0,32,3,500,1800,169,74.7*158.4*7.8,4000,2.95,1560*720,2019,블랙  딥 블루  레드  코랄 오렌지,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%99%80%EC%9D%B4%EB%93%9C4,0,https://www.youtube.com/embed/bDEbPp6Y7Ik
Samsung Galaxy wide 3,Samsung,290000,5.5,안드로이드 8.0,32,2,1300,1300,181,76.2*153.3*8.7,3300,1.6,1280*720,2018,블랙  실버,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%99%80%EC%9D%B4%EB%93%9C3#s-4.1,0,https://www.youtube.com/embed/94tAR3w8qRY
